Ticket number,Issue Date,Issue time,Meter Id,Marked Time,RP State Plate,Plate Expiry Date,VIN,Make,Body Style,Color,Location,Route,Agency,Violation code,Violation Description,Fine amount,Latitude,Agency Description,Color Description,Body Style Description
4274307623,01/05/2016,2129,,,CA,201604,,CHRY,VN,BL,7350 LANKERSHIM BOULEVARD,00315,53,21211B,BLK BIKE PATH OR LAN,93,6444416.7,,,
4274862196,01/05/2016,1132,,,CA,201601,,CHEV,TK,WT,411 W CYPRESS AVE,6T8,56,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4273423803,01/06/2016,2146,,,CA,201612,,CHEV,PA,BK,5226 LAUREL CANYON BLVD,00315,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4274307682,01/05/2016,2259,,,OK,,,HNO,CM,WT,7521 LANKERSHIM BOULEVARD,00315,53,21211B,BLK BIKE PATH OR LAN,93,6444421,,,
4274572956,01/06/2016,2100,,,CA,201611,,HOND,PA,WT,10531 WHITE OAK AVENUE,00317,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4274572982,01/06/2016,2141,,,CA,201604,,JEEP,PA,WT,16100 CHATSWORTH STREET,00317,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4274572993,01/06/2016,2144,,,CA,201607,,KIA,PA,GY,10780 WOODLEY AVENUE,00317,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4274573004,01/06/2016,2150,,,CA,201612,,TOYT,PU,WT,10780 WOODLEY AVENUE,00317,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4274573015,01/06/2016,2155,,,CA,201607,,FORD,PA,GY,10781 WOODLEY AVENUE,00317,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4274062181,01/07/2016,1403,,,OK,201606,,HOND,PA,GY,14326 CHANDLER BLVD,369A,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4274229676,01/07/2016,1611,,,CA,201610,,DODG,PA,SL,11490 BURBANK BOULEVARD,00316,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4274229831,01/07/2016,2023,,,CA,201606,,CHEV,PA,GY,13933 MOORPARK STREET,00316,53,21211B,BLK BIKE PATH OR LAN,93,6429568.4,,,
4274229853,01/07/2016,2109,,,CA,201609,,TOYT,PU,GY,7500 LANKERSHIM BOULEVARD,00316,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4274229864,01/07/2016,2111,,,CA,201512,,FORD,PA,BK,7500 LANKERSHIM BOULEVARD,00316,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4274229886,01/07/2016,2115,,,CA,201604,,HOND,PA,WT,7524 LANKERSHIM BOULEVARD,00316,53,21211B,BLK BIKE PATH OR LAN,93,6444421.1,,,
4273340886,01/11/2016,2126,,,CA,201607,,NISS,PA,WT,15556 NORDHOFF ST,00309,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4274573461,01/11/2016,2130,,,CA,201607,,HYUN,PA,BK,6858 WHITE OAK AVENUE,00309,53,21211B,BLK BIKE PATH OR LAN,93,6404851.8,,,
4274573472,01/11/2016,2135,,,CA,201609,,FORD,PU,YE,6920 WHITE OAK AVENUE,00309,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4274573586,01/12/2016,1746,,,CA,201607,,HUMM,PA,GY,7544 LANKERSHIM BOULEVARD,00316,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4274573590,01/12/2016,1756,,,CA,201511,,FORD,PA,WT,7514 LANKERSHIM BOULEVARD,00316,53,21211B,BLK BIKE PATH OR LAN,93,6444420.8,,,
4274573601,01/12/2016,1805,,,CA,,,LEXS,PA,GY,7604 LANKERSHIM BOULEVARD,00316,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4274573612,01/12/2016,1808,,,CA,201606,,FORD,PA,GY,8600 LANKERSHIM BOULEVARD,00316,53,21211B,BLK BIKE PATH OR LAN,93,6444451.7,,,
4274573752,01/12/2016,2237,,,CA,,,BMW,PA,WT,7521 LANKERSHIM BOULEVARD,00316,53,21211B,BLK BIKE PATH OR LAN,93,6444421,,,
4274573763,01/12/2016,2240,,,CA,201606,,HOND,PA,GY,7521 LANKERSHIM BOULEVARD,00316,53,21211B,BLK BIKE PATH OR LAN,93,6444421,,,
4274656573,01/12/2016,2001,,,CA,201612,,FORD,PA,GY,1658 GRIFFITH PARK BLVD,00403,54,21211B,BLK BIKE PATH OR LAN,93,6477430.9,,,
4274463605,01/13/2016,935,,,CA,,,OTHR,VN,BN,201 FIGUEROA ST N,00644,56,21211B,BLK BIKE PATH OR LAN,93,6484996.4,,,
4274573785,01/12/2016,2302,,,CA,201604,,TOYT,PA,GY,8346 LAUREL CANYON BOULEVARD,00316,53,21211B,BLK BIKE PATH OR LAN,93,6434296.1,,,
4274798113,01/13/2016,1217,,,CA,201610,,OTHR,MH,WT,23310 ROSCOE BOULEVARD,00337,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4274033455,01/14/2016,2215,,,CA,201604,,TOYT,PA,GY,4383 COLFAX AVENUE,00315,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4274605112,01/14/2016,1215,,,CA,201605,,FORD,PA,GY,1947 CAHUENGA BLVD,00495,54,21211B,BLK BIKE PATH OR LAN,93,6461571.8,,,
4275298171,01/14/2016,1932,,,CA,201609,,CHEV,PA,GY,13034 VAN NUYS BOULEVARD,00316,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4275298182,01/14/2016,1936,,,CA,201610,,TOYT,PA,SL,13034 VAN NUYS BOULEVARD,00316,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4273341284,01/15/2016,2317,,,CA,201701,,HOND,PA,BK,6530 LANKERSHIM BOULEVARD,309,53,21211B,BLK BIKE PATH OR LAN,93,6444395.8,,,
4274355536,01/15/2016,1237,,,CA,201606,,TOYT,PA,BL,8701 WOODMAN AVE,369A,53,21211B,BLK BIKE PATH OR LAN,93,6430358.1,,,
4274551470,01/15/2016,1251,,,CA,201609,,CHEV,PU,GY,4851 EAGLE ROCK BLVD,00676,56,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4274355632,01/17/2016,943,,,CA,201611,,INFI,PA,BK,7825 WHITE OAK AVE,00321,53,21211B,BLK BIKE PATH OR LAN,93,6404877.5,,,
4274355676,01/17/2016,1101,,,CA,201602,,TOYT,PA,SL,20900 OXNARD ST,00321,53,21211B,BLK BIKE PATH OR LAN,93,6383420.6,,,
4274907453,01/17/2016,1614,,,CA,201605,,FORD,PA,GY,9050 WOODMAN AVENUE,00309,53,21211B,BLK BIKE PATH OR LAN,93,6428812,,,
4274171635,01/18/2016,1221,,,CA,201604,,JEEP,PA,GY,825 2ND ST E,00688,56,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4274787182,01/18/2016,1304,,,CA,201609,,FORD,PA,BK,1021 MISSION ROAD N,00607,56,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4270721593,01/19/2016,1052,,,CA,201608,,GMC,PA,BK,17533 DEVONSHIRE ST,00383,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4273733715,01/19/2016,1056,,,CA,201609,,FORD,PA,WT,1963 CAHUENGA BLVD,00485,54,21211B,BLK BIKE PATH OR LAN,93,6461566.3,,,
4273792854,01/19/2016,2047,,,CA,201607,,GMC,PA,GY,7412 WOODLEY AVENUE,00310,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4274473814,01/20/2016,1052,,,LA,,,VOLV,TK,RD,756 MAIN ST S,651B,56,21211B,BLK BIKE PATH OR LAN,93,6485203.5,,,
4275058572,01/20/2016,1118,,,CA,2,,OTHR,TK,WT,1150 OLIVE ST S,00653,56,21211B,BLK BIKE PATH OR LAN,93,6482425,,,
4275299081,01/20/2016,1921,,,CA,201611,,CHEV,PU,GY,13110 VAN NUYS BOULEVARD,00316,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4275299092,01/20/2016,1927,,,CA,201608,,LEXS,PA,BK,13070 VAN NUYS BOULEVARD,00316,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4275320405,01/20/2016,2122,,,CA,201604,,CHEV,PA,WT,6724 LANKERSHIM BOULEVARD,00315,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4270721755,01/21/2016,1156,,,CA,201602,,GMC,PA,SL,17081 DEVONSHIRE ST,00383,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4274697560,01/21/2016,800,,,CA,200906,,DODG,VN,GN,145 F ST E,00563,55,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4275299405,01/21/2016,2128,,,CA,201606,,NISS,PA,GY,10730 WOODLEY AVENUE,00317,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4275299416,01/21/2016,2131,,,CA,201611,,CHEV,PU,BL,10700 WOODLEY AVENUE,00317,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4275299420,01/21/2016,2136,,,CA,201612,,VOLV,PA,GN,10732 WOODLEY AVENUE,00317,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4275299442,01/21/2016,2229,,,CA,201602,,NISS,PU,YE,10814 WHITE OAK AVENUE,00317,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4275508020,01/21/2016,1727,,,CA,201611,,MAZD,PA,RD,13762 MOORPARK STREET,00315,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4275508042,01/21/2016,1821,,,CA,201607,,TOYT,PA,RD,7300 LANKERSHIM BOULEVARD,00315,53,21211B,BLK BIKE PATH OR LAN,93,6444415.4,,,
4275508053,01/21/2016,1825,,,CA,201701,,FORD,PA,WT,7514 LANKERSHIM BOULEVARD,00315,53,21211B,BLK BIKE PATH OR LAN,93,6444420.8,,,
4275714376,01/21/2016,2234,,,CA,201607,,CHEV,PA,BK,15500 RINALDI STREET,00309,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4275299744,01/22/2016,2127,,,CA,201605,,TOYT,PA,GY,7548 LANKERSHIM BOULEVARD,00315,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4275364973,01/24/2016,2147,,,CA,201602,,NISS,PU,WT,10500 GLENOAKS BLVD,00315,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4275364984,01/24/2016,2150,,,CA,200912,,DODG,MH,WT,10600 GLENOAKS BLVD,00315,53,21211B,BLK BIKE PATH OR LAN,93,6441122.9,,,
4275007656,01/25/2016,1732,,,CA,201604,,DODG,PA,BK,5042 YORK BOULEVARD,00611,56,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4275206983,01/25/2016,1055,,,CA,,,OTHR,VN,BN,1500 COLORADO BLVD,00674,56,21211B,BLK BIKE PATH OR LAN,93,6501712.2,,,
4275384982,01/25/2016,1124,,,CA,201506,,NISS,PA,BK,701 4TH PL E,00664,56,21211B,BLK BIKE PATH OR LAN,93,6489549.4,,,
4275956031,01/25/2016,1021,,,CA,201608,,VOLV,PA,SL,1947 CAHUENGA BLVD,00485,54,21211B,BLK BIKE PATH OR LAN,93,6461571.8,,,
4274943330,01/26/2016,1822,,,CA,1,,CHEV,PA,GY,3612 W SUNSET BLVD,00403,54,21211B,BLK BIKE PATH OR LAN,93,6477776.9,,,
4275063262,01/26/2016,1455,,,CA,,,UNK,TR,GN,12100 ROSCOE BLVD,00371,53,21211B,BLK BIKE PATH OR LAN,93,6441799.4,,,
4275365345,01/25/2016,2310,,,CA,201507,,GMC,PU,WT,11643 CHANDLER BLVD,00315,53,21211B,BLK BIKE PATH OR LAN,93,6445006.3,,,
4275878250,01/26/2016,1211,,,CA,201610,,CADI,PA,BK,13066 VAN NUYS BOULEVARD,340R,53,21211B,BLK BIKE PATH OR LAN,93,6435471.3,,,
4276040086,01/26/2016,2021,,,CA,201602,,TOYT,PU,BN,7248 WHITE OAK AVENUE,00310,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4276040090,01/26/2016,2025,,,CA,201610,,HOND,PA,BK,7520 WHITE OAK AVENUE,00310,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4276040101,01/26/2016,2032,,,CA,201601,,CHEV,VN,GY,8046 WHITE OAK AVENUE,00310,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4276040160,01/26/2016,2248,,,CA,201609,,BMW,PA,SL,7416 WHITE OAK AVENUE,00310,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4276040171,01/26/2016,2254,,,CA,201605,,TOYT,PU,SL,8133 WHITE OAK AVENUE,00310,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4269481915,01/27/2016,1122,,,CA,201604,,DODG,PU,WT,18975 FIGUEROA ST S,00561,55,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4275365651,01/26/2016,2302,,,CA,201606,,TOYT,PA,SL,11616 BURBANK BLVD,00315,53,21211B,BLK BIKE PATH OR LAN,93,6444664.2,,,
4275713341,01/27/2016,2102,,,CA,201610,,HOND,PA,SL,4800 LAUREL CANYON BLVD,00315,53,21211B,BLK BIKE PATH OR LAN,93,6434579,,,
4275713352,01/27/2016,2103,,,CA,201602,,NISS,PA,GY,4800 LAUREL CANYON BLVD,00315,53,21211B,BLK BIKE PATH OR LAN,93,6434579,,,
4275713374,01/27/2016,2108,,,CA,201609,,INTL,TK,WT,5400 LAUREL CANYON BLVD,00315,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4275713400,01/27/2016,2138,,,CA,,,OTHR,TR,BK,4201 VINELAND AVE,00315,53,21211B,BLK BIKE PATH OR LAN,93,6449545.4,,,
4275713411,01/27/2016,2141,,,NJ,,,VOLV,TK,RD,4225 VINELAND AVE,00315,53,21211B,BLK BIKE PATH OR LAN,93,6449545.6,,,
4276040182,01/26/2016,2300,,,CA,201509,,MERZ,PA,WT,7527 WHITE OAK AVENUE,00310,53,21211B,BLK BIKE PATH OR LAN,93,6404869.6,,,
4276040425,01/27/2016,2127,,,CA,201605,,BUIC,PA,GY,7623 WHITE OAK AVENUE,00309,53,21211B,BLK BIKE PATH OR LAN,93,6404872.1,,,
4275207635,01/28/2016,1103,,,CA,,,OTHR,VN,BN,3385 VERDUGO AVE,00674,56,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4272426060,01/29/2016,1132,,,UT,201612,,VOLV,TK,GY,2520 HOOVER ST S,537C,55,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4275715673,01/29/2016,1827,,,CA,201603,,FORD,PA,RD,4048 TUJUNGA AVE,00309,53,21211B,BLK BIKE PATH OR LAN,93,6446997.3,,,
4275715710,01/29/2016,2011,,,CA,201701,,FORD,CM,WT,8749 WOODMAN AVENUE,00309,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4275946673,01/29/2016,1833,,,CA,201606,,OTHR,MH,WT,8219 WHITE OAK AVENUE,00310,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4275946780,01/29/2016,2023,,,OR,,,PTRB,TK,GY,6800 WHITE OAK AVENUE,00310,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4275946791,01/29/2016,2029,,,CA,201608,,NISS,PA,PR,7600 WHITE OAK AVENUE,00310,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4276522051,01/29/2016,1930,,,CA,201603,,MAZD,PA,GN,13156 RIVERSIDE DR,00315,53,21211B,BLK BIKE PATH OR LAN,93,6434710.6,,,
4276522106,01/29/2016,2234,,,OK,,,GMC,TK,WT,7521 LANKERSHIM BLVD,00315,53,21211B,BLK BIKE PATH OR LAN,93,6444421,,,
4276522412,01/31/2016,1711,,,CA,201610,,FORD,PU,BK,4301 TUJUNGA AVE,00315,53,21211B,BLK BIKE PATH OR LAN,93,6447001.3,,,
4275434973,02/01/2016,208,,,CA,201606,,HYUN,PA,BK,6316 MONTEREY ROAD,00611,56,21211B,BLK BIKE PATH OR LAN,93,6506806,,,
4276041346,02/01/2016,2131,,,CA,201606,,CHEV,PA,GY,8838 WINNETKA AVENUE,00321,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4276041350,02/01/2016,2134,,,CA,201607,,BMW,PA,WT,8826 WINNETKA AVENUE,00321,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4276041361,02/01/2016,2234,,,CA,201602,,HOND,PA,BK,6842 WINNETKA AVENUE,00321,53,21211B,BLK BIKE PATH OR LAN,93,6389006.5,,,
4276041372,02/01/2016,2253,,,CA,201603,,CHEV,PU,RD,7018 WINNETKA AVENUE,00321,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4276660205,02/01/2016,1626,,,AZ,,,FORD,CM,WT,6734 LANKERSHIM BOULEVARD,00316,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4276660216,02/01/2016,1633,,,CA,201602,,CHEV,PA,WT,7514 LANKERSHIM BOULEVARD,00316,53,21211B,BLK BIKE PATH OR LAN,93,6444420.8,,,
4276660220,02/01/2016,1635,,,CA,201209,,FORD,PU,GY,7514 LANKERSHIM BOULEVARD,00316,53,21211B,BLK BIKE PATH OR LAN,93,6444420.8,,,
4276660231,02/01/2016,1636,,,CA,201609,,MAZD,PA,WT,7514 LANKERSHIM BOULEVARD,00316,53,21211B,BLK BIKE PATH OR LAN,93,6444420.8,,,
4276660242,02/01/2016,1638,,,CA,201610,,FORD,PU,SL,7532 LANKERSHIM BOULEVARD,00316,53,21211B,BLK BIKE PATH OR LAN,93,6444421.3,,,
4276660253,02/01/2016,1641,,,CA,201606,,TOYT,PA,SL,7514 LANKERSHIM BOULEVARD,00316,53,21211B,BLK BIKE PATH OR LAN,93,6444420.8,,,
4276660290,02/01/2016,1744,,,CA,201603,,CHEV,VN,WT,7756 FOOTHILL BOULEVARD,00316,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4276660312,02/01/2016,1911,,,CA,201506,,FRHT,TK,BL,13758 FOOTHILL BOULEVARD,00316,53,21211B,BLK BIKE PATH OR LAN,93,6430926.7,,,
4276660356,02/01/2016,2052,,,CA,201701,,CHEV,PA,RD,7776 FOOTHILL BOULEVARD,00316,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4276660360,02/01/2016,2054,,,CA,201610,,DODG,PA,GY,7762 FOOTHILL BOULEVARD,00316,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4276660371,02/01/2016,2055,,,CA,201605,,FORD,PA,GY,7762 FOOTHILL BOULEVARD,00316,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4272426185,02/02/2016,1420,,,CA,201603,,CHEV,PA,RD,1100 WESTMONT DR N,00563,55,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4272426200,02/02/2016,1613,,,CA,201612,,DODG,PU,RD,775 CAPITOL DR,00563,55,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4274362772,02/02/2016,938,,,CA,201604,,FORD,PA,GY,3701 EAGLE ROCK BLVD,00676,56,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4274848686,02/02/2016,1619,,,CA,201609,,HOND,PA,RD,3505 VENICE BLVD,00107,51,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4275207963,02/02/2016,1406,,,CA,,,OTHR,VN,BN,1530 SUNSET AVE,00674,56,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4276041420,02/02/2016,1940,,,CA,201603,,TOYT,PU,GY,14050 FOOTHILL BOULEVARD,00316,53,21211B,BLK BIKE PATH OR LAN,93,6428903.3,,,
4276041512,02/02/2016,2130,,,CA,201604,,BMW,PA,BK,7561 FOOTHILL BOULEVARD,00316,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4276660404,02/01/2016,2316,,,CA,201608,,FORD,TK,WT,7923 LANKERSHIM BOULEVARD,00316,53,21211B,BLK BIKE PATH OR LAN,93,6444431.3,,,
4272426351,02/03/2016,1339,,,CA,201611,,TSMR,PA,GY,218 MARINE AVE N,00561,55,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4272426406,02/03/2016,1536,,,CA,,,OTHR,TR,PR,AF 1152 WESTMONT DR N,00561,55,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4276014341,02/03/2016,1425,,,CA,201608,,STRN,PA,BL,17806 PLUMMER ST,00383,53,21211B,BLK BIKE PATH OR LAN,93,6404012.4,,,
4276041766,02/03/2016,2012,,,CA,201612,,NISS,PA,WT,6521 RESEDA BOULEVARD,00310,53,21211B,BLK BIKE PATH OR LAN,93,6399563.1,,,
4276041781,02/03/2016,2224,,,CA,201701,,NISS,PU,GY,7442 WHITE OAK AVENUE,00310,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4276041792,02/03/2016,2230,,,CA,201606,,OTHR,MH,WT,8219 WHITE OAK AVENUE,00310,53,21211B,BLK BIKE PATH OR LAN,93,6404888.3,,,
4276041803,02/03/2016,2234,,,CA,,,FORD,PA,BK,8201 WHITE OAK AVENUE,00310,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4276041814,02/03/2016,2239,,,CA,,,HYUN,PA,WT,8133 WHITE OAK AVENUE,00310,53,21211B,BLK BIKE PATH OR LAN,93,6404886.1,,,
4276041825,02/03/2016,2241,,,CA,201604,,TOYT,PA,RD,8139 WHITE OAK AVENUE,00310,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4276041836,02/03/2016,2244,,,CA,201611,,CHEV,PU,GY,8037 WHITE OAK AVENUE,00310,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4276041840,02/03/2016,2250,,,CA,201608,,CHEV,PU,YE,7719 WHITE OAK AVENUE,00310,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4276523193,02/03/2016,2250,,,CA,201508,,FORD,PA,RD,11614 BURBANK BLVD,00321,53,21211B,BLK BIKE PATH OR LAN,93,6444671.2,,,
4276523215,02/03/2016,2258,,,CA,201701,,NISS,PA,WT,12647 BURBANK BLVD,00321,53,21211B,BLK BIKE PATH OR LAN,93,6438158.7,,,
4276522983,02/02/2016,2309,,,CA,201611,,VOLK,PA,SL,12366 CHANDLER BLVD,00309,53,21211B,BLK BIKE PATH OR LAN,93,6439846.9,,,
4276530753,02/03/2016,1945,,,AZ,201602,,CHEV,PA,GY,4048 TUJUNGA AVENUE,00309,53,21211B,BLK BIKE PATH OR LAN,93,6446997.3,,,
4276669655,02/02/2016,2033,,,CA,201607,,FRHT,PA,PK,10528 GLENOAKS BLVD,00315,53,21211B,BLK BIKE PATH OR LAN,93,6441459.1,,,
4276669703,02/02/2016,2139,,,CA,201606,,FRHT,TK,WT,8239 LANKERSHIM BLVD,00315,53,21211B,BLK BIKE PATH OR LAN,93,6444438.5,,,
4272426465,02/04/2016,1211,,,CA,201602,,BMW,PA,BK,1215 WESTMONT DR N,00561,55,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4274060210,02/04/2016,846,,,CA,,,OTHR,TR,RD,6543 WHITE OAK AVE,00322,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4274060221,02/04/2016,848,,,CA,,,OTHR,TR,BK,6543 WHITE OAK AVE,00322,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4275221860,02/04/2016,1407,,,CA,201608,,FORD,VN,SL,770 MISSION ROAD N,00636,56,21211B,BLK BIKE PATH OR LAN,93,6493363.5,,,
4275268340,02/04/2016,1745,,,QU,,,UNK,PA,UN,1 O ST,549A,55,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4275705836,02/04/2016,1933,,,CA,,,MITS,PA,BK,1111 HOPE ST S,00651,56,21211B,BLK BIKE PATH OR LAN,93,6481899.2,,,
4276523462,02/04/2016,2233,,,CA,201607,,LEXS,PA,WT,20900 OXNARD ST,00321,53,21211B,BLK BIKE PATH OR LAN,93,6383420.6,,,
4276576404,02/03/2016,1611,,,CA,201607,,FORD,CM,WT,7300 LANKERSHIM BLVD,00316,53,21211B,BLK BIKE PATH OR LAN,93,6444415.4,,,
4276897240,02/04/2016,1449,,,CA,201609,,HYUN,PA,SL,11409 CHANDLER BLVD,00357,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4275643691,02/05/2016,1107,,,CA,201605,,MERZ,PA,BK,312 VENICE WAY,00902,51,21211B,BLK BIKE PATH OR LAN,93,6419329.1,,,
4276150513,02/05/2016,1058,,,CA,201609,,FRHT,TK,BL,5013 YORK BLVD,00676,56,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4276239914,02/05/2016,2051,,,CA,,,FRHT,TK,GN,6926 LANKERSHIM BOULEVARD,00315,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4276239995,02/05/2016,2157,,,CA,201607,,FRHT,TK,WT,8239 LANKERSHIM BOULEVARD,00315,53,21211B,BLK BIKE PATH OR LAN,93,6444438.5,,,
4276240006,02/05/2016,2202,,,OK,,,GMC,CM,WT,7521 LANKERSHIM BOULEVARD,00315,53,21211B,BLK BIKE PATH OR LAN,93,6444421,,,
4276523554,02/05/2016,1919,,,OK,,,OTHR,TR,GY,4067 TUJUNGA AVE,00315,53,21211B,BLK BIKE PATH OR LAN,93,6446997.6,,,
